"Sample","Latitude","Longitude","Status","Date.time","Site","Location","Depth","Observer.count","Observer.length","Successful.count","Successful.length","Comment"
54,-22.7654,113.5392,NA,"2022-05-20T08:32:36+08:00",NA,NA,83.1,"Molly","Kaitlin","Yes","Yes","Only one length in some maxN frames?"
52,-22.7635,113.5348,NA,"2022-05-20T08:50:37+08:00",NA,NA,91,"Molly","Kaitlin","Yes","Yes",NA
26,-22.7615,113.5484,NA,"2022-05-20T09:08:31+08:00",NA,NA,77.2,"Kaitlin","Kaitlin - fixed errors","Yes","Yes",NA
45,-22.7602,113.5432,NA,"2022-05-20T09:23:19+08:00",NA,NA,81.8,"test video","Kaitlin","Yes","No",NA
7,-22.7574,113.5382,NA,"2022-05-20T09:36:32+08:00",NA,NA,89.3,"Kaitlin","Kaitlin - fixed errors","Yes","Yes",NA
55,-22.7564,113.529,NA,"2022-05-20T09:48:49+08:00",NA,NA,89.1,"test video",NA,"Yes","No",NA
56,-22.7534,113.5302,NA,"2022-05-20T10:09:08+08:00",NA,NA,99.8,"Kaitlin","Kaitlin - fixed errors","Yes","Yes",NA
31,-22.7542,113.5424,NA,"2022-05-20T10:27:48+08:00",NA,NA,82.3,"Kaitlin","Kaitlin - fixed errors","Yes","Yes",NA
40,-22.7522,113.5444,NA,"2022-05-20T11:58:07+08:00",NA,NA,84.1,"Henry","Kaitlin","Yes","Yes",NA
60,-22.7516,113.5386,NA,"2022-05-20T12:05:02+08:00",NA,NA,91,"Kaitlin","Henry","Yes","Yes",NA
12,-22.7505,113.5476,NA,"2022-05-20T12:11:27+08:00",NA,NA,80.5,"Henry","Kaitlin","Yes","Yes",NA
44,-22.7482,113.549,NA,"2022-05-20T12:17:32+08:00",NA,NA,79.4,"Henry","Kaitlin","Yes","Yes",NA
37,-22.7475,113.5445,NA,"2022-05-20T12:23:05+08:00",NA,NA,81.3,"Kaitlin","Kaitlin - fixed errors","Yes","Yes",NA
6,-22.7459,113.5531,NA,"2022-05-20T12:30:12+08:00",NA,NA,74.3,"Kaitlin","Henry","Yes","Yes",NA
59,-22.7437,113.5452,NA,"2022-05-20T12:37:35+08:00",NA,NA,83.5,"Kaitlin","Henry","Yes","Yes","Check juvenile lethrinus"
24,-22.7426,113.5507,NA,"2022-05-20T12:42:58+08:00",NA,NA,79.3,"Kaitlin","Mystery?","Yes","Yes","Already been done but row not filled out?"
16,-22.7406,113.5395,NA,"2022-05-20T14:06:11+08:00",NA,NA,93.2,"Henry","Kaitlin","Yes","Yes",NA
62,-22.7375,113.542,NA,"2022-05-20T14:11:26+08:00",NA,NA,90.1,"Henry","Kaitlin","Yes","Yes",NA
23,-22.734,113.542,NA,"2022-05-20T14:15:28+08:00",NA,NA,91.4,"Henry","Kaitlin","Yes","Yes",NA
49,-22.7309,113.5443,NA,"2022-05-20T14:20:55+08:00",NA,NA,89.5,"N/A","N/A","No","No",NA
36,-22.7318,113.5477,NA,"2022-05-20T14:25:23+08:00",NA,NA,83.2,"Henry","Kaitlin","Yes","Yes",NA
64,-22.7343,113.5508,NA,"2022-05-20T14:30:16+08:00",NA,NA,79.2,"Kaitlin","Henry","Yes","Yes",NA
3,-22.7379,113.5515,NA,"2022-05-20T14:34:36+08:00",NA,NA,78.3,"Kaitlin","Henry","Yes","Yes",NA
4,-22.7337,113.5555,NA,"2022-05-20T14:40:43+08:00",NA,NA,73.9,"Kaitlin","Henry","Yes","Yes",NA
43,-22.7328,113.5589,NA,"2022-05-22T08:03:30+08:00",NA,NA,70.6,"Henry","Kaitlin","Yes","Yes",NA
8,-22.7298,113.5538,NA,"2022-05-22T08:12:35+08:00",NA,NA,76.4,"Kaitlin","Henry","Yes","Yes",NA
11,-22.7274,113.5498,NA,"2022-05-22T08:18:17+08:00",NA,NA,81,"Henry","Kaitlin","Yes","Yes",NA
10,-22.7272,113.5424,NA,"2022-05-22T08:25:30+08:00",NA,NA,94.7,"N/A","N/A","No","No",NA
27,-22.7254,113.5459,NA,"2022-05-22T08:31:16+08:00",NA,NA,90.4,"Kaitlin","Henry","Yes","Yes",NA
32,-22.7239,113.5552,NA,"2022-05-22T08:39:35+08:00",NA,NA,78.3,"Henry","Kaitlin","Yes","Yes",NA
20,-22.7212,113.5561,NA,"2022-05-22T08:44:53+08:00",NA,NA,76,"Henry","Kaitlin","Yes","Yes","Accidentally deleted 1x length measurement of copy (original unaffected)"
5,-22.7218,113.5506,NA,"2022-05-22T08:50:54+08:00",NA,NA,81.9,"Kaitlin","Henry","Yes","Yes",NA
1,-22.7221,113.5447,NA,"2022-05-22T10:03:24+08:00",NA,NA,93.9,"Kaitlin","Henry","Yes","Yes",NA
33,-22.719,113.549,NA,"2022-05-22T10:09:30+08:00",NA,NA,85.4,"Kaitlin","Henry","Yes","Yes",NA
50,-22.7173,113.5528,NA,"2022-05-22T10:14:30+08:00",NA,NA,81.9,"Kaitlin","Henry","Yes","Yes",NA
41,-22.7154,113.5479,NA,"2022-05-22T10:21:59+08:00",NA,NA,89.7,"Henry","Kaitlin","Yes","Yes",NA
18,-22.7101,113.5492,NA,"2022-05-22T10:29:53+08:00",NA,NA,91.5,"Henry","Kaitlin","Yes","Yes","Changed caeruleopinnatus to chrysophrys"
39,-22.7105,113.5539,NA,"2022-05-22T10:35:24+08:00",NA,NA,78.9,"Kaitlin","Henry","Yes","Yes",NA
22,-22.7072,113.5554,NA,"2022-05-22T10:42:04+08:00",NA,NA,81.3,"Henry","Kaitlin","Yes","Yes",NA
30,-22.7058,113.5588,NA,"2022-05-22T10:47:54+08:00",NA,NA,78.5,"Kaitlin","Henry","Yes","Yes","Check Carangidae blank"
58,-22.7056,113.5502,NA,"2022-05-22T12:28:44+08:00",NA,NA,90.9,"Kaitlin","Henry","Yes","Yes",NA
25,-22.7053,113.5466,NA,"2022-05-22T12:34:21+08:00",NA,NA,99.5,"Kaitlin","Henry","Yes","Yes",NA
17,-22.7011,113.5532,NA,"2022-05-22T12:45:32+08:00",NA,NA,86.5,"Henry","Kaitlin","Yes","Yes",NA
35,-22.6987,113.551,NA,"2022-05-22T12:46:10+08:00",NA,NA,94.6,"Kaitlin","Henry","Yes","Yes",NA
42,-22.6952,113.5537,NA,"2022-05-22T12:51:14+08:00",NA,NA,92.3,"Kaitlin","Henry","Yes","Yes",NA
15,-22.6977,113.5561,NA,"2022-05-22T12:55:29+08:00",NA,NA,83.9,"Kaitlin","Henry","Yes","Yes","Claude check A. rutilans (was 'unknown')"
47,-22.6999,113.5592,NA,"2022-05-22T12:59:50+08:00",NA,NA,80.8,"Kaitlin",NA,"Yes","No","Claude check juvenile M. latovittatus"
28,-22.6987,113.5625,NA,"2022-05-22T13:05:17+08:00",NA,NA,76.3,"Kaitlin","Kaitlin - fixed errors","Yes","Yes",NA
2,-22.6957,113.5628,NA,"2022-05-22T14:16:25+08:00",NA,NA,77.3,"Kaitlin",NA,"Yes","No",NA
48,-22.696,113.5596,NA,"2022-05-22T14:21:46+08:00",NA,NA,80.2,"Henry","Kaitlin","Yes","Yes",NA
9,-22.6934,113.5571,NA,"2022-05-22T14:27:15+08:00",NA,NA,84.9,"Henry","Kaitlin","Yes","Yes",NA
46,-22.693,113.5605,NA,"2022-05-22T14:30:54+08:00",NA,NA,79.5,"Kaitlin","Kaitlin - fixed errors","Yes","Yes",NA
34,-22.6928,113.5645,NA,"2022-05-22T14:38:27+08:00",NA,NA,76.4,"Kaitlin","Kaitlin - fixed errors","Yes","Yes",NA
21,-22.6893,113.5652,NA,"2022-05-22T14:43:14+08:00",NA,NA,77.3,"Kaitlin",NA,"Yes","No",NA
51,-22.69,113.5609,NA,"2022-05-22T14:49:13+08:00",NA,NA,79.4,"Henry","Kaitlin","Yes","Yes",NA
29,-22.691,113.5564,NA,"2022-05-22T14:54:59+08:00",NA,NA,87.9,"Henry","Kaitlin","Yes","Yes",NA
57,-22.6751,113.561,NA,"2022-05-26T08:11:51+08:00",NA,NA,88.2,"Kaitlin","Kaitlin - fixed errors","Yes","Yes",NA
63,-22.6744,113.5666,NA,"2022-05-26T08:17:59+08:00",NA,NA,81.1,"Kaitlin",NA,"Yes","No",NA
61,-22.6779,113.5654,NA,"2022-05-26T08:23:34+08:00",NA,NA,79.8,"Kaitlin",NA,"Yes","No",NA
53,-22.6839,113.5636,NA,"2022-05-26T08:29:10+08:00",NA,NA,78.2,"Kaitlin",NA,"Yes","No",NA
19,-22.6847,113.5669,NA,"2022-05-26T08:33:41+08:00",NA,NA,76.4,"Kaitlin",NA,"Yes","No",NA
38,-22.6868,113.5642,NA,"2022-05-26T08:38:39+08:00",NA,NA,78.6,"Kaitlin",NA,"Yes","No",NA
13,-22.6872,113.5606,NA,"2022-05-26T08:42:37+08:00",NA,NA,82.1,"Kaitlin",NA,"Yes","No",NA
14,-22.6876,113.5568,NA,"2022-05-26T08:48:10+08:00",NA,NA,90.5,"Kaitlin","Kaitlin - fixed errors","Yes","Yes",NA
