campaignid,sample,latitude,longitude,date.time,site,location,status,depth,successful.count,successful.length,observer.count,observer.length
2020-06_south-west_stereo-BRUVs,1,-34.128599,114.930865,2020-06-02T09:10:00+0800,c1,South-west,No-take,46.7,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,2,-34.125316,114.928838,2020-06-02T09:18:00+0800,c1,South-west,No-take,44.4,Yes,No,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,3,-34.126906,114.925945,2020-06-02T09:27:00+0800,c1,South-west,No-take,39.3,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,4,-34.122634,114.920337,2020-06-02T09:44:00+0800,c2,South-west,No-take,44.1,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,5,-34.131497,114.915753,2020-06-02T09:57:00+0800,c3,South-west,No-take,44.1,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,6,-34.132842,114.912405,2020-06-02T10:06:00+0800,c3,South-west,No-take,43.2,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,7,-34.134771,114.910241,2020-06-02T10:16:00+0800,c3,South-west,No-take,43.9,Yes,No,Hayley,upside down + 2k
2020-06_south-west_stereo-BRUVs,8,-34.129352,114.911755,2020-06-02T13:48:00+0800,c3,South-west,No-take,39.6,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,9,-34.119541,114.916105,2020-06-02T11:45:00+0800,c2,South-west,No-take,43.8,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,10,-34.117294,114.918685,2020-06-02T11:51:00+0800,c2,South-west,No-take,45.7,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,11,-34.117752,114.92306,2020-06-02T13:55:00+0800,c2,South-west,No-take,45.08,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,12,-34.132262,114.928545,2020-06-02T12:03:00+0800,c1,South-west,No-take,40.1,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,13,-34.128506,114.930547,2020-06-02T12:09:00+0800,c1,South-west,No-take,45.2,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,14,-34.128381,114.925457,2020-06-02T12:16:00+0800,c1,South-west,No-take,35,Yes,No,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,15,-34.125012,114.91032,2020-06-02T14:09:00+0800,c3,South-west,No-take,43,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,16,-34.126181,114.906548,2020-06-02T14:14:00+0800,c3,South-west,No-take,40.9,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,17,-34.132142,114.92083,2020-06-02T14:20:00+0800,c3,South-west,No-take,40.2,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,18,-34.128679,114.924078,2020-06-02T14:25:00+0800,c1,South-west,No-take,35.8,Yes,No,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,20,-34.130219,114.820233,2020-06-03T08:16:00+0800,c8,South-west,No-take,51.7,Yes,No,Hayley,NA
2020-06_south-west_stereo-BRUVs,21,-34.128151,114.817448,2020-06-03T08:24:00+0800,c8,South-west,No-take,52.4,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,22,-34.126271,114.819552,2020-06-03T08:32:00+0800,c8,South-west,No-take,51.9,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,23,-34.124217,114.817017,2020-06-03T08:38:00+0800,c8,South-west,No-take,51.3,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,24,-34.118739,114.826402,2020-06-03T08:47:00+0800,c7,South-west,No-take,49.8,Yes,Yes,Hayey,Rachel
2020-06_south-west_stereo-BRUVs,25,-34.116829,114.828432,2020-06-03T08:54:00+0800,c7,South-west,No-take,48.4,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,26,-34.120881,114.828907,2020-06-03T09:02:00+0800,c7,South-west,No-take,48.4,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,27,-34.121824,114.832898,2020-06-03T10:19:00+0800,c7,South-west,No-take,47.8,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,28,-34.112916,114.852137,2020-06-03T10:27:00+0800,c6,South-west,No-take,44.7,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,29,-34.111084,114.855648,2020-06-03T10:31:00+0800,c6,South-west,No-take,43,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,30,-34.112094,114.85946,2020-06-03T10:37:00+0800,c6,South-west,No-take,42.9,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,31,-34.116007,114.860738,2020-06-03T10:42:00+0800,c6,South-west,No-take,44.4,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,32,-34.130076,114.86109,2020-06-03T10:49:00+0800,c5,South-west,No-take,43.2,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,33,-34.133067,114.8627,2020-06-03T10:54:00+0800,c5,South-west,No-take,43.6,Yes,No,Hayley,upside down
2020-06_south-west_stereo-BRUVs,34,-34.131334,114.866053,2020-06-03T12:18:00+0800,c5,South-west,No-take,42.7,Yes,Yes,Hayley,Claude
2020-06_south-west_stereo-BRUVs,35,-34.134801,114.869348,2020-06-03T12:23:00+0800,c5,South-west,No-take,43.8,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,36,-34.130484,114.878263,2020-06-03T12:29:00+0800,c4,South-west,No-take,42.2,Yes,Yes,Hayey,Rachel
2020-06_south-west_stereo-BRUVs,37,-34.126354,114.878937,2020-06-03T12:34:00+0800,c4,South-west,No-take,41.2,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,38,-34.127912,114.883938,2020-06-03T12:39:00+0800,c4,South-west,No-take,41.8,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,39,-34.132294,114.884797,2020-06-03T12:42:00+0800,c4,South-west,No-take,42.2,Yes,Yes,Hayley,Rachel
2020-06_south-west_stereo-BRUVs,40,-34.133669,114.880443,2020-06-03T12:46:00+0800,c4,South-west,No-take,41.2,Yes,Yes,Hayley,Rachel
