"sample","longitude","latitude","Substrate","Macroalgae","Seagrasses","Cnidaria","grouping"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26183/?format=feather",115.2142,-33.3635,10,0,0,0,"1"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26184/?format=feather",115.101,-33.4405,0,10,0,0,"2"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26185/?format=feather",115.3549,-33.4921,10,0,0,0,"3"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26186/?format=feather",115.2281,-33.3921,10,0,0,0,"4"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26187/?format=feather",115.455,-33.3628,6,0,4,0,"5"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26188/?format=feather",115.1204,-33.4071,10,0,0,0,"6"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26189/?format=feather",115.4457,-33.4205,15,0,0,0,"7"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26190/?format=feather",115.1361,-33.3643,10,0,0,0,"8"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26191/?format=feather",115.3313,-33.5282,6,0,9,0,"9"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26192/?format=feather",115.2958,-33.5712,3,0,7,0,"10"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26193/?format=feather",115.2616,-33.404,10,0,0,0,"11"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26194/?format=feather",115.0925,-33.4502,15,0,0,0,"12"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26195/?format=feather",115.413,-33.5297,2,0,11,0,"13"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26196/?format=feather",115.2148,-33.5782,0,0,10,0,"14"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26197/?format=feather",115.4986,-33.3889,0,0,3,0,"15"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26198/?format=feather",115.2327,-33.3636,6,0,5,0,"16"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26199/?format=feather",115.0981,-33.3926,10,0,0,0,"17"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26200/?format=feather",115.3618,-33.4605,10,0,0,0,"18"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26201/?format=feather",115.2221,-33.4339,10,0,0,0,"19"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26202/?format=feather",115.1807,-33.5746,0,0,10,0,"20"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26203/?format=feather",115.4289,-33.5042,0,0,10,0,"21"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26204/?format=feather",115.2862,-33.4712,5,0,0,0,"22"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26205/?format=feather",115.0828,-33.3833,10,0,0,0,"23"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26206/?format=feather",115.3236,-33.55,0,0,11,0,"24"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26207/?format=feather",115.1884,-33.5464,10,0,0,0,"25"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26208/?format=feather",115.2873,-33.4272,3,7,0,0,"26"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26209/?format=feather",115.1764,-33.487,0,13,0,0,"27"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26210/?format=feather",115.3341,-33.4241,5,0,0,0,"28"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26211/?format=feather",115.2369,-33.5986,10,0,0,0,"29"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26212/?format=feather",115.4621,-33.4808,0,0,10,0,"30"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26213/?format=feather",115.3205,-33.3528,3,4,3,0,"31"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26214/?format=feather",115.0739,-33.3845,10,0,0,0,"32"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26215/?format=feather",115.4157,-33.4055,0,0,8,0,"33"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26216/?format=feather",115.2077,-33.4269,10,0,0,0,"34"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26217/?format=feather",115.3721,-33.3585,10,0,0,0,"35"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26218/?format=feather",115.1274,-33.5037,7,0,0,0,"36"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26219/?format=feather",115.4329,-33.465,0,0,5,0,"37"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26220/?format=feather",115.2287,-33.472,10,0,0,0,"38"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26221/?format=feather",115.0986,-33.3679,5,0,0,0,"39"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26222/?format=feather",115.3862,-33.5425,0,0,10,0,"40"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26223/?format=feather",115.3097,-33.3984,5,0,3,0,"41"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26224/?format=feather",115.1317,-33.4446,5,0,0,0,"42"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26225/?format=feather",115.2878,-33.5485,4,0,3,0,"43"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26226/?format=feather",115.5134,-33.4028,0,0,15,0,"44"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26227/?format=feather",115.2721,-33.3809,10,0,0,0,"45"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26228/?format=feather",115.1742,-33.4108,0,16,0,0,"46"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26229/?format=feather",115.4137,-33.4316,0,0,10,0,"47"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26230/?format=feather",115.2982,-33.4927,8,0,0,0,"48"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26231/?format=feather",115.3565,-33.3582,10,0,0,0,"49"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26232/?format=feather",115.1532,-33.5131,8,0,2,0,"50"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26233/?format=feather",115.2801,-33.5709,4,0,6,0,"51"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26234/?format=feather",115.2224,-33.4953,9,0,1,0,"52"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26235/?format=feather",115.3796,-33.5697,0,0,10,0,"53"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26236/?format=feather",115.5049,-33.3626,0,5,5,0,"54"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26237/?format=feather",115.1345,-33.4993,4,6,0,0,"55"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26238/?format=feather",115.3307,-33.4505,10,0,0,0,"56"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26239/?format=feather",115.2562,-33.5039,7,0,3,0,"57"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26240/?format=feather",115.5095,-33.4364,0,0,5,0,"58"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26241/?format=feather",115.2048,-33.3597,10,0,0,0,"59"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26242/?format=feather",115.0859,-33.4783,10,0,0,0,"60"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26243/?format=feather",115.2426,-33.3882,10,0,0,0,"61"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26244/?format=feather",115.404,-33.3534,10,0,0,0,"62"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26245/?format=feather",115.1514,-33.4159,5,0,0,0,"63"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26246/?format=feather",115.4287,-33.4271,0,5,5,0,"64"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26247/?format=feather",115.3224,-33.4625,10,0,0,0,"65"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26248/?format=feather",115.1456,-33.3718,10,0,0,0,"66"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26249/?format=feather",115.2946,-33.5893,0,0,10,0,"67"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26250/?format=feather",115.2847,-33.413,10,0,0,0,"68"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26251/?format=feather",115.1029,-33.4558,8,0,0,0,"69"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26252/?format=feather",115.4438,-33.5076,0,0,8,0,"70"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26253/?format=feather",115.2309,-33.5874,8,0,2,0,"71"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26254/?format=feather",115.2305,-33.3788,6,0,4,0,"72"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26255/?format=feather",115.1103,-33.3955,10,0,0,0,"73"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26256/?format=feather",115.3791,-33.4694,0,0,10,0,"74"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26257/?format=feather",115.1924,-33.3965,10,0,0,0,"75"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26258/?format=feather",115.1785,-33.5405,1,0,9,0,"76"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26259/?format=feather",115.4589,-33.4896,0,3,0,0,"77"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26260/?format=feather",115.2145,-33.5011,10,0,0,0,"78"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26261/?format=feather",115.0564,-33.3828,10,0,0,0,"79"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26262/?format=feather",115.3225,-33.5333,0,0,6,0,"80"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26263/?format=feather",115.2061,-33.5396,10,0,0,0,"81"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26264/?format=feather",115.315,-33.4176,10,0,0,0,"82"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26265/?format=feather",115.1528,-33.4813,10,0,0,0,"83"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26266/?format=feather",115.3155,-33.5175,0,10,0,0,"84"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26267/?format=feather",115.4808,-33.4489,3,0,7,0,"85"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26268/?format=feather",115.2927,-33.3847,10,0,0,0,"86"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26269/?format=feather",115.1727,-33.434,0,9,0,0,"87"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26270/?format=feather",115.2142,-33.4325,0,0,8,0,"88"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26271/?format=feather",115.1196,-33.5185,10,0,0,0,"89"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26272/?format=feather",115.4547,-33.4581,0,0,10,0,"90"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26273/?format=feather",115.2451,-33.4597,10,0,0,0,"91"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26274/?format=feather",115.1881,-33.5833,0,0,10,0,"92"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26275/?format=feather",115.1677,-33.4691,10,0,0,0,"93"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26276/?format=feather",115.3219,-33.5369,2,0,8,0,"94"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26277/?format=feather",115.5224,-33.4052,0,3,8,0,"95"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26278/?format=feather",115.2779,-33.3658,10,0,0,0,"96"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26279/?format=feather",115.1639,-33.3984,10,0,0,0,"97"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26280/?format=feather",115.4065,-33.4446,10,0,0,0,"98"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26281/?format=feather",115.2864,-33.4982,10,0,0,0,"99"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26282/?format=feather",115.5567,-33.4388,0,0,13,0,"100"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26283/?format=feather",115.4021,-33.5375,3,0,6,0,"101"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26284/?format=feather",115.4207,-33.5019,0,2,8,0,"102"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",115.1139,-33.5808,0,0,10,0,"103"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26286/?format=feather",115.2737,-33.6033,0,0,10,0,"104"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26287/?format=feather",115.2367,-33.5762,0,9,0,0,"105"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26288/?format=feather",115.4323,-33.5342,0,0,9,0,"106"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26289/?format=feather",115.4329,-33.4768,0,0,10,0,"107"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26290/?format=feather",115.1968,-33.6034,0,0,8,0,"108"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26291/?format=feather",115.2478,-33.6034,0,0,11,0,"109"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26292/?format=feather",115.4806,-33.4627,0,0,10,0,"110"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26293/?format=feather",115.3698,-33.5417,0,0,10,0,"111"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26294/?format=feather",115.1228,-33.5518,10,0,0,0,"112"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26295/?format=feather",115.2488,-33.5688,6,0,4,0,"113"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26296/?format=feather",115.5756,-33.4273,0,10,0,0,"114"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26297/?format=feather",115.4045,-33.5098,2,1,8,0,"115"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26298/?format=feather",115.2109,-33.5975,0,6,3,1,"116"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26299/?format=feather",115.4117,-33.5779,0,0,10,0,"117"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26300/?format=feather",115.2317,-33.5738,10,0,0,0,"118"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26301/?format=feather",115.5742,-33.3873,0,0,10,0,"119"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26302/?format=feather",115.2241,-33.6066,10,0,0,0,"120"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26303/?format=feather",115.3031,-33.5955,0,0,10,0,"121"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26304/?format=feather",115.5036,-33.4189,0,0,8,0,"122"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26305/?format=feather",115.3602,-33.6032,0,0,10,0,"123"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26306/?format=feather",115.4767,-33.4949,3,2,7,0,"124"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26307/?format=feather",115.4685,-33.4388,5,6,4,0,"125"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26308/?format=feather",115.1345,-33.5561,10,0,0,0,"126"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26309/?format=feather",115.4224,-33.5628,0,0,10,0,"127"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26310/?format=feather",115.4775,-33.4083,2,0,3,0,"128"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26311/?format=feather",115.1362,-33.5707,10,0,0,0,"129"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26312/?format=feather",115.4206,-33.5205,0,0,5,0,"130"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26313/?format=feather",115.2133,-33.5937,0,10,0,0,"131"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26314/?format=feather",115.4879,-33.3815,0,0,7,0,"132"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26315/?format=feather",115.3322,-33.5572,1,2,3,0,"133"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26316/?format=feather",115.4379,-33.5012,0,2,8,0,"134"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26317/?format=feather",115.2189,-33.594,1,0,9,0,"135"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26318/?format=feather",115.4776,-33.471,1,6,3,0,"136"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26319/?format=feather",115.4661,-33.5555,0,0,10,0,"137"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26320/?format=feather",115.1301,-33.5825,0,0,10,0,"138"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26321/?format=feather",115.1454,-33.5958,0,0,10,0,"139"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26322/?format=feather",115.1628,-33.5869,0,0,9,0,"140"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26323/?format=feather",115.3942,-33.4892,4,0,4,0,"141"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26324/?format=feather",115.104,-33.5691,0,5,0,3,"142"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26325/?format=feather",115.253,-33.6031,1,0,8,0,"143"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26326/?format=feather",115.2267,-33.5771,4,0,6,0,"144"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26327/?format=feather",115.2393,-33.6092,0,0,6,0,"145"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26328/?format=feather",115.488,-33.4518,3,0,9,0,"146"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26329/?format=feather",115.2948,-33.627,0,0,5,0,"147"
